41	192	290
132	276	65
191	41	32
252	192	290
282	282	70
286	64	162
418	75	43
431	42	24
516	14	55
811	288	278
1024	156	283
1079	28	218
1102	275	324
1168	287	63
1364	54	39
1505	234	286
1539	92	199
1651	19	234
1655	300	284
1984	61	155
2085	88	199
2139	39	36
2192	219	284
2542	43	44
2608	250	309
2993	98	38
3066	234	276
3080	98	38
3182	150	292
3245	30	49
3464	30	188
3469	149	277
3496	306	43
3515	317	33
3839	35	177
3845	169	216
3974	163	292
4145	312	166
4229	250	280
4272	35	177
4282	348	325
4454	309	24
4513	226	330
4681	332	43
4729	169	216
5135	18	231
5199	222	238
5253	173	283
5346	55	38
5438	98	38
5679	63	149
5759	103	181
5761	348	187
5762	106	45
5838	152	329
5888	82	44
5974	40	36
5983	281	288
6134	259	326
6134	351	268
6156	107	272
6332	72	35
6602	312	166
6840	81	37
6970	74	30
7028	294	47
7065	354	35
7242	11	33
7295	172	292
7295	296	293
7315	234	276
7320	41	32
7355	239	289
7374	296	293
7407	209	162
7434	163	284
7699	176	280
7830	333	305
7858	294	276
7917	234	286
7963	55	38
7991	287	280
8016	333	305
8016	334	306
8141	354	165
8291	197	331
8307	332	43
8364	88	165
8461	61	155
8472	353	125
8536	75	43
8576	168	288
8639	23	48
8728	47	228
9198	81	37
9208	277	333
9384	200	283
9400	186	290
9444	299	280
9611	77	234
9735	110	249
9763	292	36
9849	91	161
9993	92	170
