16	275	19
48	89	185
161	316	123
162	225	216
280	60	213
520	48	203
618	287	141
791	269	14
874	275	30
874	314	61
878	234	278
986	32	98
1038	298	91
1038	299	91
1216	247	117
1222	233	224
1317	53	272
1407	264	100
1609	116	176
1804	281	94
1874	198	162
1923	39	215
2069	235	288
2230	128	111
2417	43	39
2699	6	219
2871	57	17
2938	12	80
3027	340	127
3148	233	71
3286	149	89
3353	144	84
3545	144	84
3624	288	160
3757	54	143
3776	146	126
3795	299	183
3872	271	141
3891	100	163
3996	260	139
4003	237	91
4031	212	184
4125	155	146
4247	68	216
4462	159	93
4479	105	290
4670	259	17
4690	228	100
4699	40	253
4758	141	253
4768	174	126
4887	247	269
4977	210	177
4993	144	243
5045	146	104
5076	251	104
5083	174	126
5094	135	113
5231	300	172
5412	268	122
5422	97	195
5431	154	168
5521	193	123
5525	179	279
5535	184	217
5600	95	184
5623	133	238
5626	68	216
5636	116	117
5726	193	153
5770	162	158
5829	348	223
5849	33	111
6055	248	156
6090	7	98
6091	225	216
6296	59	183
6393	68	216
6409	166	126
6412	250	49
6444	254	72
6553	310	280
6662	35	206
6662	34	206
6733	32	98
6809	256	131
6815	216	90
6882	282	94
6937	247	117
6973	85	270
7041	337	164
7102	300	172
7133	299	126
7246	53	272
7379	6	249
7412	162	172
7431	164	113
7503	204	166
7701	31	122
7772	224	37
7797	351	90
7871	18	94
7939	233	224
7972	71	210
7996	165	181
8363	248	156
8404	14	238
8413	121	190
8491	316	282
8588	260	139
8603	164	132
8646	114	169
8732	315	147
8889	335	77
8905	318	98
8928	249	203
9026	307	156
9148	127	214
9175	234	278
9196	109	195
9212	212	184
9295	299	126
9317	6	249
9446	162	258
9519	48	113
9621	88	170
9728	298	48
9942	281	154
