23	269	276
31	74	266
62	325	111
62	84	120
66	169	24
79	177	361
79	174	362
82	344	145
130	232	225
193	247	338
194	91	263
288	51	271
380	54	207
380	47	212
380	47	211
418	304	170
422	72	220
469	59	110
517	138	37
567	95	21
582	307	209
614	98	261
656	161	72
660	159	88
682	201	114
789	16	237
789	17	236
843	74	266
897	83	47
983	263	269
1015	241	133
1054	37	61
1059	162	193
1087	143	106
1190	261	95
1197	201	114
1205	87	179
1352	94	280
1374	248	286
1382	204	79
1390	259	75
1399	135	128
1414	218	336
1437	108	139
1503	255	330
1594	350	133
1605	177	65
1712	54	258
1733	252	117
1748	301	187
1830	46	317
1901	334	151
1908	238	305
2009	229	325
2013	235	107
2073	37	61
2079	269	82
2104	217	135
2149	166	106
2179	261	103
2218	92	181
2251	90	70
2270	132	131
2271	225	114
2406	321	165
2425	295	113
2438	235	107
2589	67	201
2595	150	20
2707	185	77
2802	185	77
2824	111	123
2854	82	252
2866	6	279
2912	100	42
2914	244	117
2982	147	141
3046	241	126
3051	218	319
3056	213	87
3143	110	224
3190	249	96
3247	261	235
3346	82	252
3351	186	6
3422	310	139
3467	27	222
3529	231	314
3542	198	133
3555	100	90
3656	13	88
3721	176	112
3751	114	74
3880	26	239
3922	82	252
3980	66	124
3990	240	244
4001	182	116
4054	314	150
4149	60	267
4202	232	334
4226	350	124
4275	328	131
4379	225	335
4409	292	247
4526	166	156
4578	208	49
4578	223	57
4693	110	32
4784	246	75
4813	225	301
4840	182	116
4864	48	115
4878	46	230
4936	200	45
4984	103	168
5118	65	289
5185	108	7
5266	91	271
5294	238	305
5311	151	140
5311	151	140
5316	65	100
5327	328	131
5334	133	139
5344	274	89
5367	94	237
5395	61	161
5519	21	74
5533	26	83
5549	84	19
5599	216	81
5633	117	111
5717	286	116
5747	217	135
5787	98	261
5797	200	223
5809	46	317
5813	238	65
5833	253	329
5943	177	361
5943	174	362
5951	255	330
5966	52	271
6275	303	99
6275	303	99
6275	318	107
6319	6	249
6395	86	160
6396	75	100
6400	230	73
6446	310	171
6468	12	137
6486	88	287
6493	263	279
6542	179	51
6627	158	122
6666	232	334
6795	48	176
6857	232	66
6925	86	273
6986	77	210
6994	110	76
7005	115	176
7025	43	155
7047	227	294
7178	139	343
7226	213	120
7274	311	111
7311	287	225
7351	255	319
7397	229	325
7455	254	322
7480	139	14
7487	108	189
7549	110	32
7686	86	273
7762	196	49
7934	41	66
8005	12	137
8142	57	214
8180	53	75
8261	240	89
8351	89	330
8394	294	120
8394	284	114
8406	102	150
8482	225	114
8555	260	332
8555	260	333
8583	271	276
8681	251	280
8702	264	114
8778	229	54
8791	24	239
8932	282	88
8933	208	49
8936	276	254
8977	202	343
9002	239	277
9047	226	91
9072	285	125
9122	287	225
9209	239	277
9215	154	89
9372	277	121
9493	244	102
9513	146	246
9545	66	56
9552	152	43
9604	335	164
9621	96	66
9682	182	116
9772	34	159
9905	102	150
9920	89	330
9939	329	145
9998	131	169
9998	154	173
