67	145	181
75	349	181
75	337	109
75	234	276
283	68	81
338	153	252
382	334	8
412	11	269
442	38	65
453	78	81
897	248	24
898	60	135
1049	10	22
1102	13	301
1235	54	9
1430	16	195
1466	20	13
1711	10	214
1845	75	156
1938	63	157
1946	302	286
2275	293	289
2372	347	7
2453	78	81
2489	153	252
2586	337	16
2664	16	228
2683	160	197
2757	347	7
2896	11	284
2931	279	292
3058	32	253
3117	151	27
3132	150	202
3260	67	61
3411	352	135
3615	83	143
3695	71	210
3815	153	252
3851	54	25
3851	155	24
4068	68	81
4361	54	198
4390	94	13
4520	289	168
4664	155	125
4825	320	203
5010	54	198
5106	83	143
5193	211	248
5440	273	33
5468	155	125
5623	328	284
5623	351	123
5684	65	198
5687	151	214
5844	65	198
6051	67	61
6077	74	8
6134	115	12
6175	334	8
6530	72	134
6589	21	61
6741	353	220
6741	146	11
6753	153	281
6781	318	194
6829	80	107
6871	302	186
6891	16	195
7059	37	44
7339	50	16
7339	39	17
7628	351	208
7708	60	135
7719	304	12
7774	345	147
7801	98	81
8106	108	91
8225	52	169
8368	325	279
8574	338	24
8663	23	17
8712	248	24
8751	347	19
8929	312	285
9427	10	223
9427	10	236
9427	10	247
9427	11	258
9472	54	210
9582	80	107
9684	108	91
9929	302	186
